entero,celsius,calibrado
39,19.06,1
40,19.55,1
40,19.55,1
40,19.55,1
40,19.55,1
38,18.57,1
39,19.06,1
40,19.55,1
40,19.55,1
40,19.55,1
38,18.57,1
40,19.55,1
38,18.57,1
38,18.57,1
38,18.57,1
37,18.08,1
38,18.57,1
38,18.57,1
37,18.08,1
37,18.08,1
38,18.57,1
37,18.08,1
36,17.60,1
37,18.08,1
37,18.08,1
36,17.60,1
37,18.08,1
37,18.08,1
38,18.57,1
36,17.60,1
36,17.60,1
36,17.60,1
36,17.60,1
37,18.08,1
36,17.60,1
36,17.60,1
37,18.08,1
37,18.08,1
35,17.11,1
36,17.60,1
36,17.60,1
37,18.08,1
36,17.60,1
37,18.08,1
36,17.60,1
37,18.08,1
35,17.11,1
37,18.08,1
37,18.08,1
35,17.11,1
36,17.60,1
36,17.60,1
36,17.60,1
37,18.08,1
37,18.08,1
37,18.08,1
37,18.08,1
36,17.60,1
37,18.08,1
37,18.08,1
36,17.60,1
35,17.11,1
35,17.11,1
36,17.60,1
36,17.60,1
37,18.08,1
35,17.11,1
35,17.11,1
35,17.11,1
36,17.60,1
36,17.60,1
35,17.11,1
35,17.11,1
33,16.13,1
34,16.62,1
33,16.13,1
34,16.62,1
33,16.13,1
34,16.62,1
35,17.11,1
34,16.62,1
34,16.62,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
34,16.62,1
34,16.62,1
34,16.62,1
34,16.62,1
35,17.11,1
33,16.13,1
34,16.62,1
34,16.62,1
35,17.11,1
35,17.11,1
35,17.11,1
34,16.62,1
35,17.11,1
34,16.62,1
35,17.11,1
33,16.13,1
34,16.62,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
33,16.13,1
34,16.62,1
33,16.13,1
32,15.64,1
33,16.13,1
34,16.62,1
33,16.13,1
32,15.64,1
32,15.64,1
31,15.15,1
32,15.64,1
32,15.64,1
31,15.15,1
31,15.15,1
32,15.64,1
32,15.64,1
36,17.60,1
36,17.60,1
35,17.11,1
35,17.11,1
33,16.13,1
33,16.13,1
31,15.15,1
29,14.17,1
29,14.17,1
30,14.66,1
28,13.69,1
28,13.69,1
27,13.20,1
27,13.20,1
26,12.71,1
25,12.22,1
25,12.22,1
23,11.24,1
24,11.73,1
23,11.24,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
23,11.24,1
23,11.24,1
22,10.75,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
21,10.26,1
22,10.75,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
21,10.26,1
20,9.78,0
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
20,9.78,0
22,10.75,1
22,10.75,1
23,11.24,1
21,10.26,1
20,9.78,0
21,10.26,1
20,9.78,0
20,9.78,0
20,9.78,0
20,9.78,0
21,10.26,1
20,9.78,0
20,9.78,0
21,10.26,1
22,10.75,1
20,9.78,0
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
23,11.24,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
23,11.24,1
23,11.24,1
22,10.75,1
22,10.75,1
23,11.24,1
22,10.75,1
23,11.24,1
23,11.24,1
23,11.24,1
22,10.75,1
23,11.24,1
22,10.75,1
23,11.24,1
21,10.26,1
23,11.24,1
24,11.73,1
22,10.75,1
23,11.24,1
23,11.24,1
23,11.24,1
23,11.24,1
24,11.73,1
22,10.75,1
22,10.75,1
22,10.75,1
23,11.24,1
24,11.73,1
23,11.24,1
23,11.24,1
23,11.24,1
22,10.75,1
24,11.73,1
22,10.75,1
23,11.24,1
25,12.22,1
24,11.73,1
24,11.73,1
24,11.73,1
23,11.24,1
24,11.73,1
23,11.24,1
24,11.73,1
23,11.24,1
23,11.24,1
24,11.73,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
23,11.24,1
23,11.24,1
23,11.24,1
23,11.24,1
23,11.24,1
23,11.24,1
24,11.73,1
22,10.75,1
23,11.24,1
24,11.73,1
24,11.73,1
22,10.75,1
23,11.24,1
25,12.22,1
24,11.73,1
23,11.24,1
24,11.73,1
24,11.73,1
22,10.75,1
23,11.24,1
23,11.24,1
23,11.24,1
23,11.24,1
24,11.73,1
24,11.73,1
24,11.73,1
23,11.24,1
23,11.24,1
23,11.24,1
22,10.75,1
22,10.75,1
23,11.24,1
22,10.75,1
23,11.24,1
22,10.75,1
21,10.26,1
21,10.26,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
21,10.26,1
22,10.75,1
24,11.73,1
29,14.17,1
27,13.20,1
28,13.69,1
28,13.69,1
29,14.17,1
28,13.69,1
27,13.20,1
28,13.69,1
29,14.17,1
27,13.20,1
26,12.71,1
25,12.22,1
25,12.22,1
25,12.22,1
24,11.73,1
24,11.73,1
22,10.75,1
22,10.75,1
22,10.75,1
21,10.26,1
22,10.75,1
22,10.75,1
21,10.26,1
21,10.26,1
21,10.26,1
21,10.26,1
20,9.78,0
20,9.78,0
20,9.78,0
20,9.78,0
19,9.29,0
19,9.29,0
19,9.29,0
19,9.29,0
20,9.78,0
19,9.29,0
18,8.80,0
18,8.80,0
19,9.29,0
18,8.80,0
18,8.80,0
19,9.29,0
16,7.82,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
18,8.80,0
17,8.31,0
17,8.31,0
17,8.31,0
16,7.82,0
18,8.80,0
15,7.33,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
18,8.80,0
16,7.82,0
17,8.31,0
18,8.80,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
16,7.82,0
16,7.82,0
17,8.31,0
16,7.82,0
16,7.82,0
17,8.31,0
17,8.31,0
17,8.31,0
18,8.80,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
18,8.80,0
16,7.82,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
18,8.80,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
17,8.31,0
16,7.82,0
17,8.31,0
